ano;PA_UFMUN;UF;Nome_Município;Pop_IBGE;PA_PROC_ID;NO_PROCEDIMENTO;Valor_Aprovado;qtd_aprovada
2018;330187;RJ;Iguaba Grande;28837;0201010232;BIÓPSIA DE GLÂNDULA SALIVAR;62.54;2
2015;352260;SP;Itapira;75234;0201010640;PUNÇÃO P/ ESVAZIAMENTO;662.5;50
2020;432180;RS;Três de Maio;23876;0201010631;PUNÇÃO LOMBAR;21.12;3
2017;510250;MT;Cáceres;94861;0201010631;PUNÇÃO LOMBAR;7.04;1
2015;351060;SP;Carapicuíba;403183;0201010380;BIOPSIA DE PENIS;238.29;13
2020;240810;RN;Natal;890480;0201010046;BIOPSIA DE ANUS E CANAL ANAL;18.46;1
2017;270430;AL;Maceió;1025360;0201010470;BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF;6454.56;272
2017;230190;CE;Barbalha;61228;0201010410;BIOPSIA DE PROSTATA;3233.3;35
2020;354890;SP;São Carlos;254484;0201010640;PUNÇÃO P/ ESVAZIAMENTO;106;8
2017;431830;RS;São Gabriel;62147;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;28.2;2
2015;316930;MG;Três Corações;80032;0201010372;BIOPSIA DE PELE E PARTES MOLES;542.43;21
2020;430350;RS;Camaquã;66478;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;70.5;13
2017;293330;BA;Vitória da Conquista;341128;0201010542;BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉTICA / RAIO X;1164;12
2015;350790;SP;Brotas;24636;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;86.24;4
2017;354850;SP;Santos;433656;0201010666;BIOPSIA DO COLO UTERINO;3995.94;218
2016;410840;PR;Francisco Beltrão;92216;0201010410;BIOPSIA DE PROSTATA;184.76;2
2019;430350;RS;Camaquã;66478;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;42.3;31
2020;230370;CE;Caucaia;365212;0201010410;BIOPSIA DE PROSTATA;6097.08;66
2020;412390;PR;Santa Mariana;11622;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;474.32;23
2020;354780;SP;Santo André;721368;0201010275;BIOPSIA DE MEDULA OSSEA;2000;10
2020;520590;GO;Corumbaíba;9869;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;14.1;1
2019;410690;PR;Curitiba;1948626;0201010380;BIOPSIA DE PENIS;311.61;17
2020;353130;SP;Monte Alto;50772;0201010666;BIOPSIA DO COLO UTERINO;146.64;8
2016;431020;RS;Ijuí;83764;0201010666;BIOPSIA DO COLO UTERINO;916.5;50
2019;520510;GO;Catalão;110983;0201010631;PUNÇÃO LOMBAR;21.12;3
2019;430680;RS;Encantado;22880;0201010372;BIOPSIA DE PELE E PARTES MOLES;103.32;4
2020;320520;ES;Vila Velha;501325;0201010402;BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA);113.68;1
2019;354780;SP;Santo André;721368;0201010097;BIOPSIA DE CONJUNTIVA;2799;90
2019;430210;RS;Bento Gonçalves;121803;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;265.92;4
2015;350410;SP;Atibaia;144088;0201010542;BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉTICA / RAIO X;291;3
2018;351040;SP;Capivari;56379;0201010410;BIOPSIA DE PROSTATA;369.52;4
2019;291170;BA;Guanambi;84928;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;7778.16;117
2015;330040;RJ;Barra Mansa;184833;0201010666;BIOPSIA DO COLO UTERINO;201.63;11
2015;230730;CE;Juazeiro do Norte;276264;0201010372;BIOPSIA DE PELE E PARTES MOLES;77.49;3
2015;110004;RO;Cacoal;85893;0201010372;BIOPSIA DE PELE E PARTES MOLES;5605.11;217
2020;330340;RJ;Nova Friburgo;191158;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;2735.4;194
2018;317020;MG;Uberlândia;699097;0201010046;BIOPSIA DE ANUS E CANAL ANAL;18.46;1
2019;352900;SP;Marília;240590;0201010232;BIÓPSIA DE GLÂNDULA SALIVAR;93.81;3
2015;310160;MG;Alfenas;80494;0201010666;BIOPSIA DO COLO UTERINO;604.89;33
2020;431900;RS;São Marcos;21658;0201010631;PUNÇÃO LOMBAR;7.04;1
2015;250400;PB;Campina Grande;411807;0201010348;BIÓPSIA DE OSSO DO CRÂNIO E DA FACE;23.99;1
2015;313210;MG;Itacarambi;18164;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;42.3;3
2017;352240;SP;Itapeva;94804;0201010372;BIOPSIA DE PELE E PARTES MOLES;5605.11;217
2017;314520;MG;Nova Serrana;105520;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;301.84;14
2015;351390;SP;Divinolândia;11086;0201010445;BIOPSIA DE SEIO PARANASAL;18.33;1
2015;291360;BA;Ilhéus;159923;0201010283;BIOPSIA DE MUSCULO (A CEU ABERTO);219.96;13
2015;330040;RJ;Barra Mansa;184833;0201010607;PUNÇÃO DE MAMA POR AGULHA GROSSA;342.15;5
2015;317010;MG;Uberaba;337092;0201010607;PUNÇÃO DE MAMA POR AGULHA GROSSA;11290.95;165
2017;530120;NULL;NULL;NULL;0201010640;PUNÇÃO P/ ESVAZIAMENTO;13.25;1
2018;431560;RS;Rio Grande;211965;0201010194;BIOPSIA DE FARINGE/LARINGE;38.12;2
2017;520110;GO;Anápolis;391772;0201010232;BIÓPSIA DE GLÂNDULA SALIVAR;62.54;2
2017;354910;SP;São João da Boa Vista;91771;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;3666;260
2020;410830;PR;Foz do Iguaçu;258248;0201010372;BIOPSIA DE PELE E PARTES MOLES;6173.37;239
2015;150670;PA;Santana do Araguaia;74419;0201010410;BIOPSIA DE PROSTATA;8406.58;91
2017;520880;GO;Goianira;45296;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;606.3;43
2017;330490;RJ;São Gonçalo;1091737;0201010640;PUNÇÃO P/ ESVAZIAMENTO;0;1
2017;290890;BA;Coração de Maria;22495;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;199.44;6
2019;290350;BA;Belo Campo;17109;0201010666;BIOPSIA DO COLO UTERINO;439.92;24
2019;330170;RJ;Duque de Caxias;924624;0201010224;BIOPSIA DE GANGLIO LINFATICO;92.38;2
2015;352690;SP;Limeira;308482;0201010631;PUNÇÃO LOMBAR;91.52;13
2017;150140;PA;Belém;1499641;0201010542;BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉTICA / RAIO X;61983;687
2019;292740;BA;Salvador;2886698;0201010445;BIOPSIA DE SEIO PARANASAL;36.66;2
2015;312870;MG;Guaxupé;52078;0201010372;BIOPSIA DE PELE E PARTES MOLES;1162.35;63
2017;352044;SP;Ilha Solteira;26788;0201010631;PUNÇÃO LOMBAR;7.04;1
2017;310110;MG;Aimorés;25141;0201010607;PUNÇÃO DE MAMA POR AGULHA GROSSA;68.43;1
2017;351570;SP;Ferraz de Vasconcelos;196500;0201010470;BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF;47.46;2
2015;510704;MT;Primavera do Leste;63092;0201010666;BIOPSIA DO COLO UTERINO;1576.38;86
2018;520870;GO;Goiânia;1536097;0201010470;BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF;498.33;21
2018;521310;GO;Mineiros;68154;0201010666;BIOPSIA DO COLO UTERINO;311.61;17
2018;354980;SP;São José do Rio Preto;464983;0201010640;PUNÇÃO P/ ESVAZIAMENTO;1775.5;134
2018;311340;MG;Caratinga;92603;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;66.48;1
2016;431440;RS;Pelotas;343132;0201010224;BIOPSIA DE GANGLIO LINFATICO;46.19;1
2016;431140;RS;Lajeado;85033;0201010500;BIOPSIA/PUNÇÃO DE VAGINA;18.33;1
2018;330455;RJ;Rio de Janeiro;6747815;0201010097;BIOPSIA DE CONJUNTIVA;31.1;2
2018;352730;SP;Louveira;49993;0201010640;PUNÇÃO P/ ESVAZIAMENTO;26.5;2
2018;352340;SP;Itatiba;122581;0201010518;BIOPSIA/PUNÇÃO DE VULVA;1099.8;60
2018;430510;RS;Caxias do Sul;517451;0201010216;BIOPSIA DE FIGADO POR PUNCAO;2276.8;32
2019;330030;RJ;Barra do Piraí;100764;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;409.64;19
2018;261160;PE;Recife;1653461;0201010224;BIOPSIA DE GANGLIO LINFATICO;1431.89;31
2016;431800;RS;São Borja;60019;0201010666;BIOPSIA DO COLO UTERINO;329.94;18
2016;230440;CE;Fortaleza;2686612;0201010640;PUNÇÃO P/ ESVAZIAMENTO;66.25;5
2015;320530;ES;Vitória;365855;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;1424.1;104
2018;150550;PA;Paragominas;114503;0201010569;BIOPSIA/EXERESE DE NÓDULO DE MAMA;1190;17
2016;352690;SP;Limeira;308482;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;789.6;56
2016;500270;MS;Campo Grande;906092;0201010275;BIOPSIA DE MEDULA OSSEA;9400;47
2019;313240;MG;Itajubá;97334;0201010607;PUNÇÃO DE MAMA POR AGULHA GROSSA;0;16
2016;351230;SP;Conchas;18019;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;43.12;3
2019;250630;PB;Guarabira;59115;0201010666;BIOPSIA DO COLO UTERINO;183.3;10
2020;251080;PB;Patos;108192;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;107.8;5
2019;432250;RS;Vacaria;66575;0201010666;BIOPSIA DO COLO UTERINO;18.33;1
2016;314480;MG;Nova Lima;96157;0201010569;BIOPSIA/EXERESE DE NÓDULO DE MAMA;105;3
2018;351040;SP;Capivari;56379;0201010232;BIÓPSIA DE GLÂNDULA SALIVAR;31.27;1
2018;520110;GO;Anápolis;391772;0201010518;BIOPSIA/PUNÇÃO DE VULVA;18.33;1
2019;350400;SP;Assis;105087;0201010666;BIOPSIA DO COLO UTERINO;641.55;35
2020;313270;MG;Itambacuri;23209;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;126.9;9
2018;292740;BA;Salvador;2886698;0201010607;PUNÇÃO DE MAMA POR AGULHA GROSSA;256900;1835
2018;316960;MG;Tupaciguara;25398;0201010232;BIÓPSIA DE GLÂNDULA SALIVAR;31.27;1
2020;210080;MA;Anapurus;15894;0201010569;BIOPSIA/EXERESE DE NÓDULO DE MAMA;280;4
2015;431000;RS;Ibirubá;20413;0201010410;BIOPSIA DE PROSTATA;6281.84;68
2016;351050;SP;Caraguatatuba;123389;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;560.56;26
2020;431490;RS;Porto Alegre;1488252;0201010321;BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO);1132.68;6
2020;240810;RN;Natal;890480;0201010151;BIOPSIA DE ENDOMETRIO;4399.2;240
2015;352250;SP;Itapevi;240961;0201010518;BIOPSIA/PUNÇÃO DE VULVA;2052.96;112
2018;510624;MT;Nova Ubiratã;12298;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;169.2;12
2015;210340;MA;Coelho Neto;49621;0201010372;BIOPSIA DE PELE E PARTES MOLES;464.94;18
2015;312770;MG;Governador Valadares;281046;0201010151;BIOPSIA DE ENDOMETRIO;36.66;2
2018;230190;CE;Barbalha;61228;0201010470;BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF;2918.79;123
2018;261160;PE;Recife;1653461;0201010518;BIOPSIA/PUNÇÃO DE VULVA;3317.73;193
2017;411370;PR;Londrina;575377;0201010542;BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉTICA / RAIO X;136091;1403
2019;430280;RS;Caçapava do Sul;33548;0201010666;BIOPSIA DO COLO UTERINO;183.3;14
2017;330170;RJ;Duque de Caxias;924624;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;299.16;6
2015;350410;SP;Atibaia;144088;0201010607;PUNÇÃO DE MAMA POR AGULHA GROSSA;136.86;2
2020;330200;RJ;Itaguaí;134819;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;66.48;1
2020;291170;BA;Guanambi;84928;0201010410;BIOPSIA DE PROSTATA;5358.04;58
2016;354870;SP;São Bernardo do Campo;844483;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;2749.5;195
2019;432280;RS;Veranópolis;26533;0201010666;BIOPSIA DO COLO UTERINO;36.66;2
2020;317020;MG;Uberlândia;699097;0201010542;BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉTICA / RAIO X;20758;214
2017;350410;SP;Atibaia;144088;0201010569;BIOPSIA/EXERESE DE NÓDULO DE MAMA;4690;120
2017;350550;SP;Barretos;122833;0201010224;BIOPSIA DE GANGLIO LINFATICO;184.76;4
2016;313170;MG;Itabira;120904;0201010372;BIOPSIA DE PELE E PARTES MOLES;19527.48;756
2020;352690;SP;Limeira;308482;0201010232;BIÓPSIA DE GLÂNDULA SALIVAR;156.35;5
2016;241120;RN;Santa Cruz;39988;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;451.2;32
2020;350420;SP;Auriflama;15253;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;14.1;1
2018;352590;SP;Jundiaí;423006;0201010062;BIOPSIA DE BEXIGA;125.04;3
2016;350550;SP;Barretos;122833;0201010151;BIOPSIA DE ENDOMETRIO;403.26;22
2020;410840;PR;Francisco Beltrão;92216;0201010402;BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA);113.68;1
2018;520160;GO;Araçu;3486;0201010640;PUNÇÃO P/ ESVAZIAMENTO;39.75;3
2016;314100;MG;Mato Verde;12412;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;592.2;55
2018;420510;SC;Dona Emma;4186;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;42.3;3
2019;310940;MG;Buritizeiro;28121;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;215.6;10
2019;110020;RO;Porto Velho;539354;0201010569;BIOPSIA/EXERESE DE NÓDULO DE MAMA;8190;124
2018;354730;SP;Santana de Parnaíba;142301;0201010410;BIOPSIA DE PROSTATA;277.14;3
2019;500320;MS;Corumbá;112058;0201010232;BIÓPSIA DE GLÂNDULA SALIVAR;31.27;1
2020;353620;SP;Pariquera-Açu;19723;0201010194;BIOPSIA DE FARINGE/LARINGE;95.3;5
2020;330200;RJ;Itaguaí;134819;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;14.1;1
2016;351880;SP;Guarulhos;1392121;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;8925.84;414
2018;330330;RJ;Niterói;515317;0201010372;BIOPSIA DE PELE E PARTES MOLES;24951.78;966
2016;410140;PR;Apucarana;136234;0201010410;BIOPSIA DE PROSTATA;5542.8;60
2020;431490;RS;Porto Alegre;1488252;0201010283;BIOPSIA DE MUSCULO (A CEU ABERTO);54.99;3
2020;221100;PI;Teresina;868075;0201010402;BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA);113.68;1
2016;355620;SP;Valinhos;131210;0201010410;BIOPSIA DE PROSTATA;4157.1;45
2019;421630;SC;São João Batista;38583;0201010470;BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF;688.17;34
2020;330100;RJ;Campos dos Goytacazes;511168;0201010046;BIOPSIA DE ANUS E CANAL ANAL;18.46;1
2016;350950;SP;Campinas;1213792;0201010399;BIOPSIA DE PIRAMIDE NASAL;2162.94;118
2020;330630;RJ;Volta Redonda;273988;0201010666;BIOPSIA DO COLO UTERINO;586.56;32
2019;315780;MG;Santa Luzia;220444;0201010372;BIOPSIA DE PELE E PARTES MOLES;464.94;18
2019;317010;MG;Uberaba;337092;0201010666;BIOPSIA DO COLO UTERINO;3372.72;184
2019;260960;PE;Olinda;393115;0201010640;PUNÇÃO P/ ESVAZIAMENTO;13.25;1
2015;354340;SP;Ribeirão Preto;711825;0201010313;BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO);183.39;1
2018;411850;PR;Pato Branco;83843;0201010410;BIOPSIA DE PROSTATA;4157.1;45
2016;420890;SC;Jaraguá do Sul;181173;0201010275;BIOPSIA DE MEDULA OSSEA;7800;39
2020;420540;SC;Florianópolis;508826;0201010275;BIOPSIA DE MEDULA OSSEA;83400;417
2019;314810;MG;Patrocínio;91449;0201010666;BIOPSIA DO COLO UTERINO;3775.98;206
2020;431690;RS;Santa Maria;283677;0201010631;PUNÇÃO LOMBAR;844.8;120
2020;431490;RS;Porto Alegre;1488252;0201010062;BIOPSIA DE BEXIGA;3167.68;76
2015;221100;PI;Teresina;868075;0201010640;PUNÇÃO P/ ESVAZIAMENTO;79.5;6
2015;354340;SP;Ribeirão Preto;711825;0201010097;BIOPSIA DE CONJUNTIVA;186.6;6
2018;500320;MS;Corumbá;112058;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;107.8;5
2019;250950;PB;Montadas;5738;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;21.56;1
2019;431490;RS;Porto Alegre;1488252;0201010410;BIOPSIA DE PROSTATA;33995.84;368
2019;150810;PA;Tucuruí;115144;0201010410;BIOPSIA DE PROSTATA;16166.5;191
2020;314330;MG;Montes Claros;413487;0201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE;1395.9;99
2020;350700;SP;Boituva;62170;0201010410;BIOPSIA DE PROSTATA;554.28;6
2016;230020;CE;Acaraú;63104;0201010666;BIOPSIA DO COLO UTERINO;54.99;3
2019;354340;SP;Ribeirão Preto;711825;0201010399;BIOPSIA DE PIRAMIDE NASAL;769.86;42
2018;430160;RS;Bagé;121335;0201010062;BIOPSIA DE BEXIGA;41.68;1
2015;421580;SC;São Bento do Sul;85421;0201010569;BIOPSIA/EXERESE DE NÓDULO DE MAMA;140;4
2015;354880;SP;São Caetano do Sul;161957;0201010372;BIOPSIA DE PELE E PARTES MOLES;74002.95;2865
2019;313170;MG;Itabira;120904;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;398.88;6
2020;410980;PR;Ibiporã;55131;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;64.68;3
2018;431490;RS;Porto Alegre;1488252;0201010216;BIOPSIA DE FIGADO POR PUNCAO;1067.25;15
2017;330455;RJ;Rio de Janeiro;6747815;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;16121.4;850
2018;500830;MS;Três Lagoas;123281;0201010640;PUNÇÃO P/ ESVAZIAMENTO;13.25;1
2016;431410;RS;Passo Fundo;204722;0201010151;BIOPSIA DE ENDOMETRIO;73.32;4
2016;110020;RO;Porto Velho;539354;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;2493;75
2018;510515;MT;Juína;41101;0201010666;BIOPSIA DO COLO UTERINO;18.33;3
2016;320490;ES;São Mateus;132642;0201010518;BIOPSIA/PUNÇÃO DE VULVA;36.66;2
2018;230765;CE;Maracanaú;229458;0201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA;840.84;39
2019;411370;PR;Londrina;575377;0201010151;BIOPSIA DE ENDOMETRIO;183.3;10
2016;412550;PR;São José dos Pinhais;329058;0201010500;BIOPSIA/PUNÇÃO DE VAGINA;18.33;1
2018;260410;PE;Caruaru;365278;0201010372;BIOPSIA DE PELE E PARTES MOLES;5966.73;231
2016;352590;SP;Jundiaí;423006;0201010348;BIÓPSIA DE OSSO DO CRÂNIO E DA FACE;167.93;7
2019;315460;MG;Ribeirão das Neves;338197;0201010666;BIOPSIA DO COLO UTERINO;4582.5;250
2016;430680;RS;Encantado;22880;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;166.2;5
2019;291360;BA;Ilhéus;159923;0201010372;BIOPSIA DE PELE E PARTES MOLES;3693.69;143
2016;350490;SP;Bananal;10993;0201010640;PUNÇÃO P/ ESVAZIAMENTO;516.75;39
2020;317010;MG;Uberaba;337092;0201010062;BIOPSIA DE BEXIGA;41.68;1
2020;431490;RS;Porto Alegre;1488252;0201010275;BIOPSIA DE MEDULA OSSEA;118200;591
2019;354340;SP;Ribeirão Preto;711825;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;13322.83;129
2016;260890;PE;Limoeiro;56198;0201010348;BIÓPSIA DE OSSO DO CRÂNIO E DA FACE;71.97;3
2016;290070;BA;Alagoinhas;152327;0201010151;BIOPSIA DE ENDOMETRIO;36.66;2
2019;410840;PR;Francisco Beltrão;92216;0201010500;BIOPSIA/PUNÇÃO DE VAGINA;183.3;10
2019;317020;MG;Uberlândia;699097;0201010283;BIOPSIA DE MUSCULO (A CEU ABERTO);18.33;1
2020;150420;PA;Marabá;283542;0201010569;BIOPSIA/EXERESE DE NÓDULO DE MAMA;70;1
2019;317070;MG;Varginha;136602;0201010542;BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉTICA / RAIO X;4850;50
2019;354390;SP;Rio Claro;208008;0201010410;BIOPSIA DE PROSTATA;10716.08;116
2019;420540;SC;Florianópolis;508826;0201010470;BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF;18485.67;779
2020;230190;CE;Barbalha;61228;0201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA;4520.64;68
2016;410480;PR;Cascavel;332333;0201010470;BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF;4864.65;205
2020;330610;RJ;Valença;76869;0201010666;BIOPSIA DO COLO UTERINO;36.66;2
2019;261340;PE;São José da Coroa Grande;21586;0201010640;PUNÇÃO P/ ESVAZIAMENTO;874.5;66
2019;352530;SP;Jaú;151881;0201010224;BIOPSIA DE GANGLIO LINFATICO;923.8;20
2018;320490;ES;São Mateus;132642;0201010372;BIOPSIA DE PELE E PARTES MOLES;206.64;8
2020;240810;RN;Natal;890480;0201010313;BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO);3667.8;20
2016;330455;RJ;Rio de Janeiro;6747815;0201010097;BIOPSIA DE CONJUNTIVA;1088.5;35
2015;355100;SP;São Vicente;368355;0201010666;BIOPSIA DO COLO UTERINO;2712.84;148
